3,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,1
6,5,0,0,3,0,0,0,0,0,4,6,0,0,0,0,0,0,0,8,10,0
6,5,6,0,3,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14,16,0
1,5,6,6,3,0,0,0,0,0,4,4,4,0,0,0,0,0,0,32,36,2
2,5,6,6,0,0,0,1,0,0,4,4,4,3,0,0,0,0,0,30,39,2
3,5,6,6,0,0,0,1,2,0,4,4,4,3,5,0,0,0,0,32,44,1
3,5,6,6,3,0,0,1,0,0,4,4,4,0,5,0,2,0,0,33,43,1
5,5,6,6,3,3,0,1,0,0,4,4,4,6,5,0,2,0,0,42,49,1
6,5,6,6,3,3,5,1,0,0,4,4,4,6,6,0,2,0,0,47,62,2
5,5,6,6,3,3,5,0,6,0,4,4,4,6,6,0,2,1,0,52,63,2
6,5,6,6,3,3,5,5,0,0,4,4,4,6,6,0,2,1,6,51,69,2
3,5,6,6,3,3,5,5,6,0,4,4,4,6,6,0,2,1,2,57,69,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
4,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,4,0
1,5,4,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,9,13,1
1,5,4,0,1,0,0,0,0,0,3,1,3,4,0,0,0,0,0,10,17,2
5,5,4,0,1,0,0,1,0,0,3,1,3,4,3,0,0,0,0,11,20,0
1,5,4,5,1,0,0,1,0,0,3,1,3,4,3,5,0,0,0,26,25,2
2,5,4,5,1,0,0,1,1,0,3,1,3,4,3,5,6,0,0,29,31,1
6,5,4,5,1,2,0,1,1,0,3,1,3,4,3,5,6,2,0,31,33,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0
2,4,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,16,3,1
3,4,4,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,18,6,1
5,4,4,0,2,3,0,0,0,0,2,1,1,1,0,0,0,0,0,21,7,0
2,4,4,5,2,3,0,0,0,0,2,1,1,1,1,0,0,0,0,26,10,1
3,4,4,5,2,3,2,0,0,0,2,1,1,1,1,4,0,0,0,32,14,2
4,4,4,5,2,3,2,3,0,0,2,1,1,1,1,4,2,0,0,35,16,2
6,4,4,5,2,3,2,3,4,0,2,1,1,1,1,4,2,2,0,39,22,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0
5,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,16,12,0
5,4,4,5,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,21,27,1
5,4,4,5,5,0,0,0,0,0,3,3,3,6,0,0,0,0,0,26,33,1
6,4,4,5,5,5,0,0,0,0,3,3,3,6,6,0,0,0,0,41,51,1
6,4,4,5,5,5,6,0,0,0,3,3,3,1,0,0,0,0,0,47,28,2
3,4,4,5,5,5,6,6,0,0,3,3,3,1,1,0,0,0,0,53,31,2
3,4,4,5,5,5,0,6,3,0,3,3,3,1,1,6,0,0,0,50,37,1
2,4,4,5,5,5,3,6,0,0,3,3,3,1,1,6,3,0,0,50,40,2
4,4,4,5,5,5,3,6,2,0,3,3,3,1,1,6,3,1,0,52,41,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,1
5,4,0,0,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,6,11,0
6,4,5,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,11,24,0
2,4,5,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,6,1
6,4,5,0,2,2,0,0,0,0,6,1,0,0,0,0,0,0,0,17,7,0
1,0,5,6,2,2,0,0,0,0,4,1,0,0,0,0,0,0,0,19,5,1
2,0,5,6,2,2,1,0,0,0,4,1,4,0,0,0,0,0,0,20,17,0
2,2,5,6,2,2,1,0,0,0,4,1,4,4,0,0,0,0,0,22,21,2
5,2,5,6,2,2,1,2,0,0,4,1,4,4,5,0,0,0,0,24,26,2
1,2,5,6,2,2,1,2,5,0,4,1,4,4,5,4,0,0,0,29,38,2
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0
5,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,9,0
4,5,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,5,18,0
6,5,4,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,9,21,0
4,5,4,6,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,15,16,1
1,5,4,6,4,0,0,0,0,0,3,1,3,3,3,0,0,0,0,19,25,2
2,5,4,6,4,0,0,1,0,0,3,1,3,3,3,5,0,0,0,20,30,1
6,5,4,6,4,2,0,1,0,0,3,1,3,3,3,5,3,0,0,22,33,1
3,5,4,6,4,2,6,1,0,0,3,1,3,3,3,5,3,3,0,28,42,2
3,5,4,6,4,2,6,1,0,0,3,1,3,3,3,5,3,0,0,28,33,2
5,5,4,6,4,2,6,1,0,0,3,1,3,3,3,5,3,0,0,28,33,2
3,5,4,6,4,2,6,1,5,0,3,1,3,3,3,5,3,3,0,33,42,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,0
4,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,20,5,1
2,5,5,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,20,9,1
6,5,5,0,2,0,0,0,0,0,4,1,4,4,0,0,0,0,0,22,21,0
2,5,5,6,0,0,0,0,0,0,4,1,4,4,2,0,0,0,0,26,23,1
4,5,5,6,2,0,0,0,0,0,4,1,4,4,6,0,0,0,0,28,27,1
2,5,5,6,2,4,0,0,0,0,4,1,4,1,6,0,0,0,0,32,24,2
6,5,5,6,2,4,0,2,0,0,4,1,4,1,6,1,0,0,0,34,27,1
1,5,5,6,2,4,6,2,0,0,4,1,4,1,5,1,0,0,0,40,26,2
2,5,5,6,2,4,6,0,1,0,4,1,4,1,5,1,2,0,0,39,28,2
3,5,5,6,2,4,6,2,1,0,4,1,4,1,5,1,5,0,0,41,31,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0
2,1,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,5,1
4,1,4,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,5,7,0
1,1,4,4,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,17,16,2
5,1,4,4,0,0,0,1,0,0,2,3,3,2,4,0,0,0,0,18,20,1
4,1,4,4,5,0,0,1,0,0,2,3,3,2,4,3,0,0,0,23,23,1
4,1,4,4,0,4,0,1,0,0,2,3,3,2,5,3,0,0,0,22,24,1
4,1,4,4,4,4,0,1,0,0,2,3,3,2,5,3,2,0,0,34,26,1
5,1,4,4,4,4,4,1,0,0,2,3,3,2,5,3,2,5,0,54,31,2
1,1,4,4,4,4,4,1,5,0,2,3,3,2,5,3,2,3,0,59,29,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0
3,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,6,1
5,0,4,0,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,7,8,0
2,5,4,0,0,0,0,0,0,0,6,2,0,3,0,0,0,0,0,9,11,1
2,5,4,0,0,0,0,0,0,0,6,2,0,3,2,0,0,0,0,9,13,1
2,5,0,0,2,0,0,0,0,0,6,2,4,3,0,0,0,0,0,7,15,1
6,5,0,0,2,2,0,0,0,0,6,2,4,3,3,0,0,0,0,13,24,0
2,5,0,0,2,2,0,0,0,0,6,2,4,3,3,0,0,0,0,13,24,1
6,5,0,0,2,2,2,0,0,0,6,2,4,3,3,1,0,0,0,23,25,0
5,5,6,0,2,2,2,0,0,0,4,2,4,3,3,1,0,0,0,29,31,0
2,5,6,5,2,2,2,0,0,0,4,2,4,3,3,1,1,0,0,44,32,2
2,5,6,5,2,2,2,2,0,0,4,2,4,3,3,1,1,6,0,46,38,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,6,0
5,1,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,1,11,0
3,1,5,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,24,1
5,1,5,0,3,0,0,0,0,0,6,6,6,0,0,0,0,0,0,9,54,0
5,1,5,5,3,0,0,0,0,0,6,6,6,1,0,0,0,0,0,24,55,1
3,1,5,5,0,5,0,0,0,0,6,6,6,1,3,0,0,0,0,26,58,2
5,1,5,5,0,5,0,0,0,0,6,6,6,1,3,0,3,0,0,26,61,1
5,1,5,5,5,5,0,0,0,0,6,6,6,1,3,2,3,0,0,41,63,2
2,1,5,5,5,5,0,5,0,0,6,6,6,1,3,2,3,3,0,46,72,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,0
1,3,5,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,8,10,1
6,3,5,0,1,0,0,0,0,0,1,1,6,6,0,0,0,0,0,9,16,0
1,3,5,6,1,0,0,0,0,0,1,1,2,6,0,0,0,0,0,15,12,2
2,3,5,6,1,0,0,1,0,0,1,1,2,6,5,0,0,0,0,16,17,1
4,3,5,6,1,2,0,1,0,0,1,1,2,6,5,6,0,0,0,18,35,1
4,3,5,6,1,2,4,1,0,0,1,1,2,6,5,6,6,0,0,22,41,2
1,3,5,6,1,2,4,1,4,0,1,1,2,6,5,6,6,3,0,26,44,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
2,5,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,20,5,1
6,0,0,0,2,0,0,0,0,0,1,4,5,0,0,0,0,0,0,2,10,0
1,6,0,0,2,0,0,0,0,0,1,4,5,4,0,0,0,0,0,8,14,1
6,6,0,0,2,1,0,0,0,0,1,4,5,4,3,0,0,0,0,9,17,0
1,6,6,0,2,1,0,0,0,0,1,4,5,4,3,5,0,0,0,27,22,2
3,6,6,0,2,1,0,1,0,0,1,4,5,4,3,5,6,0,0,28,28,1
2,6,6,0,2,1,3,1,0,0,1,4,5,4,4,5,6,0,0,31,37,0
5,6,6,2,2,1,3,1,0,0,1,4,5,4,4,5,6,3,0,33,40,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,0
4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,0
4,5,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,9,8,1
3,5,4,0,4,0,0,0,0,0,6,2,3,0,0,0,0,0,0,13,11,1
3,5,4,0,4,0,0,0,0,0,6,2,3,3,0,0,0,0,0,13,14,1
1,5,4,0,4,3,0,0,0,0,6,2,3,1,0,0,0,0,0,16,12,2
2,5,4,0,4,0,0,1,0,0,6,2,3,1,3,0,0,0,0,14,15,1
5,5,4,0,4,2,0,1,0,0,6,2,3,1,3,5,0,0,0,16,20,0
5,5,4,5,4,2,0,1,0,0,6,2,3,1,3,5,2,0,0,31,22,1
1,5,4,5,4,2,0,1,0,0,6,2,3,1,3,5,2,0,0,31,22,2
2,5,4,5,4,2,0,1,1,0,6,2,3,1,3,5,2,4,0,34,26,2
6,5,4,5,4,2,0,0,0,2,6,2,3,1,3,5,1,4,0,32,25,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1
2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0
1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,0
4,1,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,8,0
2,1,0,0,1,0,0,0,0,0,6,2,4,0,0,0,0,0,0,2,12,1
2,1,0,0,1,2,0,0,0,0,6,2,4,5,0,0,0,0,0,4,17,1
5,1,0,0,0,2,2,0,0,0,6,2,4,5,1,0,0,0,0,9,18,0
4,1,5,0,0,2,2,0,0,0,6,2,4,5,1,3,0,0,0,14,21,0
3,0,5,4,0,2,2,0,0,0,6,2,1,5,1,3,0,0,0,17,18,1
4,0,5,4,3,2,2,0,0,0,6,2,1,5,1,5,0,0,0,20,30,0
6,4,5,4,3,2,2,0,0,0,6,2,1,5,1,5,4,0,0,32,34,2
1,4,5,4,3,2,2,6,0,0,6,2,1,5,1,5,4,5,0,38,39,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
6,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,4,0
4,4,4,6,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,22,6,1
6,4,4,6,4,0,0,0,0,0,1,1,2,1,0,0,0,0,0,26,7,1
4,4,4,6,0,6,0,0,0,0,1,1,2,1,4,0,0,0,0,28,11,1
2,4,4,6,4,6,0,0,0,0,1,1,2,1,5,0,0,0,0,32,12,2
6,4,4,6,0,6,0,2,0,0,1,1,2,1,5,4,0,0,0,30,16,1
2,4,4,6,6,6,0,0,0,0,1,1,2,1,5,4,2,0,0,46,18,2
1,4,4,6,6,6,0,2,0,0,1,1,2,1,5,4,4,0,0,48,20,2
1,4,4,6,6,6,0,2,1,0,1,1,2,1,5,4,4,4,0,49,32,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,1
1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,9,1
3,0,0,0,1,1,0,0,0,0,5,4,6,0,0,0,0,0,0,4,15,0
6,3,0,0,1,1,0,0,0,0,5,4,6,6,0,0,0,0,0,7,21,0
6,3,0,0,1,1,0,0,0,0,5,4,6,6,0,0,0,0,0,7,21,0
5,3,6,0,1,1,0,0,0,0,5,4,4,6,0,0,0,0,0,13,27,0
3,3,6,0,1,1,0,0,0,0,5,4,4,6,0,0,0,0,0,13,27,1
3,3,6,0,0,0,3,0,0,0,5,4,4,6,1,0,0,0,0,12,28,0
1,3,6,3,0,0,3,0,0,0,5,4,4,6,1,2,0,0,0,21,30,2
3,3,6,3,0,0,3,1,0,0,5,4,4,6,1,2,5,0,0,22,35,2
4,3,6,3,0,0,3,1,3,0,5,4,4,6,1,2,5,6,0,25,41,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
